sentence,entity,generated text
Recognition of proper nouns in Japanese text has been studied as a part of the more general problem of morphological analysis in Japanese text processing -LRB- -LSB- 1 -RSB- -LSB- 2 -RSB- -RRB- .,"[('Recognition of proper nouns', 'Task'), ('proper nouns', 'OtherScientificTerm'), ('Japanese text', 'Material'), ('morphological analysis', 'Task'), ('Japanese text processing', 'Task')]", recognition
It has also been studied in the framework of Japanese information extraction -LRB- -LSB- 3 -RSB- -RRB- in recent years .,"[('It', 'Generic'), ('Japanese information extraction', 'Task')]"," It(Generic), Japanese information extraction(Task), "
Our approach to the Multi-lingual Evaluation Task -LRB- MET -RRB- for Japanese text is to consider the given task as a morphological analysis problem in Japanese .,"[('approach', 'Generic'), ('Multi-lingual Evaluation Task -LRB- MET -RRB-', 'Task'), ('Japanese text', 'Material'), ('task', 'Generic'), ('morphological analysis problem', 'Task'), ('Japanese', 'Material')]"," approach(Generic), Japanese(Material), automatic methods(Generic), "
"Our morphological analyzer has done all the necessary work for the recognition and classification of proper names , numerical and temporal expressions , i.e. Named Entity -LRB- NE -RRB- items in the Japanese text .","[('morphological analyzer', 'Method'), ('recognition and classification of proper names , numerical and temporal expressions', 'Task'), ('proper names , numerical and temporal expressions', 'OtherScientificTerm'), ('Named Entity -LRB- NE -RRB- items', 'OtherScientificTerm'), ('Japanese text', 'Material')]"," morphological analyzer(Generic), Japanese text(Material"
The analyzer is called `` Amorph '' .,"[('analyzer', 'Generic'), (""`` Amorph ''"", 'Method')]"," analyzer(Generic), "
Amorph recognizes NE items in two stages : dictionary lookup and rule application .,"[('Amorph', 'Method'), ('NE items', 'OtherScientificTerm'), ('dictionary lookup', 'Method'), ('rule application', 'Method')]"," NE items(OtherScientificTerm), "
"First , it uses several kinds of dictionaries to segment and tag Japanese character strings .","[('it', 'Generic'), ('dictionaries', 'OtherScientificTerm'), ('Japanese character strings', 'OtherScientificTerm')]"," It(Generic), Japanese(Material), "
"Second , based on the information resulting from the dictionary lookup stage , a set of rules is applied to the segmented strings in order to identify NE items .","[('dictionary lookup stage', 'Method'), ('rules', 'OtherScientificTerm'), ('NE items', 'OtherScientificTerm')]"," rules(OtherScientificTerm), priori(OtherScientificTerm), "
"When a segment is found to be an NE item , this information is added to the segment and it is used to generate the final output .","[('NE item', 'OtherScientificTerm')]"," NE(OtherScientificTerm), "
We propose to incorporate a priori geometric constraints in a 3 -- D stereo reconstruction scheme to cope with the many cases where image information alone is not sufficient to accurately recover 3 -- D shape .,"[('priori geometric constraints', 'OtherScientificTerm'), ('3 -- D stereo reconstruction scheme', 'Method'), ('image information', 'OtherScientificTerm'), ('3 -- D shape', 'OtherScientificTerm')]"," geometric constraints(OtherScientificTerm), priori constraints(OtherScientificTerm), it("
Our approach is based on the iterative deformation of a 3 -- D surface mesh to minimize an objective function .,"[('approach', 'Generic'), ('iterative deformation of a 3 -- D surface mesh', 'Method'), ('objective function', 'OtherScientificTerm')]"," approach(Generic), iterative deformation(Task), non-linear optimization problem(Task), "
We show that combining anisotropic meshing with a non-quadratic approach to regularization enables us to obtain satisfactory reconstruction results using triangulations with few vertices .,"[('anisotropic meshing', 'Method'), ('non-quadratic approach', 'Method'), ('regularization', 'OtherScientificTerm'), ('reconstruction', 'Task'), ('triangulations', 'OtherScientificTerm'), ('vertices', 'OtherScientificTerm')]"," non-linear monomials(OtherScientificTerm), non-linear monomials(OtherScient"
Structural or numerical constraints can then be added locally to the reconstruction process through a constrained optimization scheme .,"[('Structural or numerical constraints', 'OtherScientificTerm'), ('reconstruction process', 'Method'), ('constrained optimization scheme', 'Method')]"," constraint(OtherScientificTerm), numerical constraints(OtherScientificTerm), constraints(OtherScientificTerm), "
They improve the reconstruction results and enforce their consistency with a priori knowledge about object shape .,"[('They', 'Generic'), ('reconstruction', 'Task'), ('priori knowledge', 'OtherScientificTerm'), ('object shape', 'OtherScientificTerm')]"," reconstruction(Task), "
