sentence,entity,generated text
Recognition of proper nouns in Japanese text has been studied as a part of the more general problem of morphological analysis in Japanese text processing -LRB- -LSB- 1 -RSB- -LSB- 2 -RSB- -RRB- .,"[('Recognition of proper nouns', 'Task'), ('proper nouns', 'OtherScientificTerm'), ('Japanese text', 'Material'), ('morphological analysis', 'Task'), ('Japanese text processing', 'Task')]"," Recognition of proper nouns(Task), morphological analysis in Japanese text processing(Task), Japanese text processing(Task), LRB(Generic), LSB(Generic), RSB(Generic), LSB(Specific), RSB(Specific), RRB(Specific)"
It has also been studied in the framework of Japanese information extraction -LRB- -LSB- 3 -RSB- -RRB- in recent years .,"[('It', 'Generic'), ('Japanese information extraction', 'Task')]"," Japanese(OtherScientificTerm), information extraction-LRB- -LSB- 3 -RSB- -RRB-(Method), recent years(Time Period),"
Our approach to the Multi-lingual Evaluation Task -LRB- MET -RRB- for Japanese text is to consider the given task as a morphological analysis problem in Japanese .,"[('approach', 'Generic'), ('Multi-lingual Evaluation Task -LRB- MET -RRB-', 'Task'), ('Japanese text', 'Material'), ('task', 'Generic'), ('morphological analysis problem', 'Task'), ('Japanese', 'Material')]"," morphological analysis problem in Japanese(Task), Japanese(Material), 
"
"Our morphological analyzer has done all the necessary work for the recognition and classification of proper names , numerical and temporal expressions , i.e. Named Entity -LRB- NE -RRB- items in the Japanese text .","[('morphological analyzer', 'Method'), ('recognition and classification of proper names , numerical and temporal expressions', 'Task'), ('proper names , numerical and temporal expressions', 'OtherScientificTerm'), ('Named Entity -LRB- NE -RRB- items', 'OtherScientificTerm'), ('Japanese text', 'Material')]"," proper names(Material), numerical and temporal expressions(Material), i.e. Named Entity-LRB-NE-RRB-items(Generic), Japanese(Language), morphological analyzer(Method),"
The analyzer is called `` Amorph '' .,"[('analyzer', 'Generic'), (""`` Amorph ''"", 'Method')]", Amorph(OtherScientificTerm)
Amorph recognizes NE items in two stages : dictionary lookup and rule application .,"[('Amorph', 'Method'), ('NE items', 'OtherScientificTerm'), ('dictionary lookup', 'Method'), ('rule application', 'Method')]"," Amorph(Software), dictionary lookup(Method), rule application(Method), NE items(OtherScientificTerm),"
"First , it uses several kinds of dictionaries to segment and tag Japanese character strings .","[('it', 'Generic'), ('dictionaries', 'OtherScientificTerm'), ('Japanese character strings', 'OtherScientificTerm')]"," Japanese(Language), dictionaries(Method), character strings(OtherScientificTerm), 

Description:

This task is to find the most important factors that influence job satisfaction.
Extract entities: job satisfaction(Topic), most important factors(Generic),"
"Second , based on the information resulting from the dictionary lookup stage , a set of rules is applied to the segmented strings in order to identify NE items .","[('dictionary lookup stage', 'Method'), ('rules', 'OtherScientificTerm'), ('NE items', 'OtherScientificTerm')]"," NE items(Generic), rules(Method), segmented strings(OtherScientificTerm), dictionary lookup stage(Method),"
"When a segment is found to be an NE item , this information is added to the segment and it is used to generate the final output .","[('NE item', 'OtherScientificTerm')]"," NE item(Generic), segment(Generic), final output(Generic), 

Description: We studied the impact of different types of noise on the performance of a neural network
Extract entities: noise(OtherScientificTerm), neural network(Method), performance(Task), 
"
We propose to incorporate a priori geometric constraints in a 3 -- D stereo reconstruction scheme to cope with the many cases where image information alone is not sufficient to accurately recover 3 -- D shape .,"[('priori geometric constraints', 'OtherScientificTerm'), ('3 -- D stereo reconstruction scheme', 'Method'), ('image information', 'OtherScientificTerm'), ('3 -- D shape', 'OtherScientificTerm')]"," geometric constraints(Generic), stereo reconstruction scheme(Method), image information alone(OtherScientificTerm), many cases(OtherScientificTerm),"
Our approach is based on the iterative deformation of a 3 -- D surface mesh to minimize an objective function .,"[('approach', 'Generic'), ('iterative deformation of a 3 -- D surface mesh', 'Method'), ('objective function', 'OtherScientificTerm')]"," surface mesh(Method), objective function(Method), 
"
We show that combining anisotropic meshing with a non-quadratic approach to regularization enables us to obtain satisfactory reconstruction results using triangulations with few vertices .,"[('anisotropic meshing', 'Method'), ('non-quadratic approach', 'Method'), ('regularization', 'OtherScientificTerm'), ('reconstruction', 'Task'), ('triangulations', 'OtherScientificTerm'), ('vertices', 'OtherScientificTerm')]"," anisotropic meshing(Method), non-quadratic approach to regularization(Method), triangulations with few vertices(Method), reconstruction results(OtherScientificTerm)"
Structural or numerical constraints can then be added locally to the reconstruction process through a constrained optimization scheme .,"[('Structural or numerical constraints', 'OtherScientificTerm'), ('reconstruction process', 'Method'), ('constrained optimization scheme', 'Method')]"," constrained optimization scheme(Method), local constraints(Generic), reconstruction process(Method), Structural or numerical constraints(Generic),"
They improve the reconstruction results and enforce their consistency with a priori knowledge about object shape .,"[('They', 'Generic'), ('reconstruction', 'Task'), ('priori knowledge', 'OtherScientificTerm'), ('object shape', 'OtherScientificTerm')]"," reconstruction results(Result), consistency with a priori knowledge about object shape(Generic), 
"
The strong description and modeling properties of differential features make them useful tools that can be efficiently used as constraints for 3 -- D reconstruction .,"[('modeling properties', 'OtherScientificTerm'), ('differential features', 'OtherScientificTerm'), ('them', 'Generic'), ('3 -- D reconstruction', 'Task')]"," differential features(Method), 3 -- D reconstruction(Task), modeling properties(Method), constraints(Generic), 
"
This work proposes a new research direction to address the lack of structures in traditional n-gram models .,"[('lack of structures', 'OtherScientificTerm'), ('lack of structures in traditional n-gram models', 'Task'), ('n-gram models', 'Method')]"," lack of structures in traditional n-gram models(Task), research direction(Generic),"
It is based on a weakly supervised dependency parser that can model speech syntax without relying on any annotated training corpus .,"[('weakly supervised dependency parser', 'Task'), ('speech syntax', 'OtherScientificTerm'), ('annotated training corpus', 'Material')]"," dependency parser(Method), speech syntax(Task), annotated training corpus(OtherScientificTerm),"
Labeled data is replaced by a few hand-crafted rules that encode basic syntactic knowledge .,"[('Labeled data', 'OtherScientificTerm'), ('hand-crafted rules', 'OtherScientificTerm'), ('syntactic knowledge', 'OtherScientificTerm')]"," syntactic knowledge(Generic), hand-crafted rules(Generic), labeled data(Generic), 
"
"Bayesian inference then samples the rules , disambiguating and combining them to create complex tree structures that maximize a discriminative model 's posterior on a target unlabeled corpus .","[('Bayesian inference', 'Method'), ('rules', 'OtherScientificTerm'), ('them', 'Generic'), ('complex tree structures', 'OtherScientificTerm'), (""discriminative model 's posterior"", 'OtherScientificTerm'), ('unlabeled corpus', 'Material')]"," Bayesian inference(Method), disambiguating and combining rules(Method), discriminative model(Method), target unlabeled corpus(OtherScientificTerm),"
This posterior encodes sparse se-lectional preferences between a head word and its dependents .,"[('posterior', 'Generic'), ('sparse se-lectional preferences', 'OtherScientificTerm')]"," head word(Generic), sparse se-lectional preferences(Method), dependents(Generic), 
"
"The model is evaluated on English and Czech newspaper texts , and is then validated on French broadcast news transcriptions .","[('model', 'Generic'), ('English and Czech newspaper texts', 'Material'), ('French broadcast news transcriptions', 'Material')]"," English(Material), Czech(Material), broadcast news transcriptions(Material), French(Material)"
Listen-Communicate-Show -LRB- LCS -RRB- is a new paradigm for human interaction with data sources .,"[('Listen-Communicate-Show -LRB- LCS -RRB-', 'Task'), ('human interaction with data sources', 'Task')]"," Listen-Communicate-Show -LRB- LCS -RRB- ( Paradigm ), human interaction with data sources(Task), 
"
We integrate a spoken language understanding system with intelligent mobile agents that mediate between users and information sources .,"[('spoken language understanding system', 'Method'), ('intelligent mobile agents', 'Method'), ('information sources', 'Material')]"," spoken language understanding system(Method), mobile agents(Method), information sources(Method), mediate between users and information sources(Task),"
We have built and will demonstrate an application of this approach called LCS-Marine .,"[('approach', 'Generic'), ('LCS-Marine', 'Task')]","

application(Method), built(Task), demonstrated(Task), LCS-Marine(Method),"
"Using LCS-Marine , tactical personnel can converse with their logistics system to place a supply or information request .","[('LCS-Marine', 'Task')]"," logistics system(Generic), tactical personnel(Generic), converse with their(Generic), supply or information request(Generic)"
"The request is passed to a mobile , intelligent agent for execution at the appropriate database .","[('mobile , intelligent agent', 'Method')]"," mobile(Generic), intelligent agent(Generic), execution at the appropriate database(Task), database(Generic),"
Requestors can also instruct the system to notify them when the status of a request changes or when a request is complete .,"[('system', 'Generic')]"," Requestors(Entity), system(Entity), status of a request(Generic), request(Generic), complete(Generic)"
We have demonstrated this capability in several field exercises with the Marines and are currently developing applications of this technology in new domains .,"[('new domains', 'Material')]","

application(Method), domain(Task), field exercises(Task), Marines(Organization), new domains(Task)"
A domain independent model is proposed for the automated interpretation of nominal compounds in English .,"[('domain independent model', 'Method'), ('automated interpretation of nominal compounds', 'Task'), ('nominal compounds', 'OtherScientificTerm'), ('English', 'Material')]"," domain independent model(Generic), nominal compounds in English(Task), automated interpretation of nominal compounds in English(Method),"
This model is meant to account for productive rules of interpretation which are inferred from the morpho-syntactic and semantic characteristics of the nominal constituents .,"[('model', 'Generic'), ('productive rules of interpretation', 'OtherScientificTerm'), ('morpho-syntactic and semantic characteristics', 'OtherScientificTerm'), ('nominal constituents', 'OtherScientificTerm')]"," productive rules of interpretation(Method), morpho-syntactic and semantic characteristics of the nominal constituents(Method), nominal constituents(OtherScientificTerm),"
